screen_name,followers,friends,tweets,place,user_location
_libster,273.0,314.0,2752.0,"Turlock, CA",beach
sbfarina50,273.0,282.0,4675.0,,the berks
Valley_Air,273.0,422.0,999.0,,"Modesto, CA USA"
V_Hernandez95,273.0,214.0,20479.0,,"Modesto, CA"
michael_mtk,273.0,259.0,925.0,,
goosey2432,273.0,253.0,2607.0,,
thenineismine,273.0,137.0,4839.0,,Sc: thenineismine
donnavin15,273.0,220.0,876.0,,
Shenitsu,273.0,178.0,2828.0,,Robloxia
marisolbarrios,273.0,420.0,514.0,,Los Angeles
KatelynnWickman,273.0,144.0,6055.0,,"Inland Empire, CA"
megalophile,273.0,385.0,84087.0,,20 / M / AUS
BEEPcos,273.0,439.0,37267.0,,ah death 
FashionIlum,273.0,647.0,4893.0,,"Modesto, CA"
damianromanl,273.0,287.0,702.0,,htx
monicaperez14_,273.0,262.0,1548.0,,"Modesto, CA"
TurlockAthletic,273.0,69.0,706.0,,"Turlock, CA"
Gillyboy_100,272.0,264.0,718.0,,"Modesto, CA"
Joeyonetime,272.0,245.0,8461.0,,Modesto
Costa1Monique,272.0,262.0,5347.0,,"Turlock, CA"
The_Outcastkid,272.0,157.0,1125.0,,"New Rochelle, NY"
Renee_Alls,272.0,158.0,4209.0,,"Turlock, CA"
JohnE03,272.0,460.0,5536.0,,"Inland Empire, Ca"
weikix,272.0,186.0,2138.0,,
AvoAbby,272.0,260.0,4558.0,,Not here.
BOWcron,272.0,101.0,16570.0,,"inland empire, CA"
nadiaaaaj,272.0,405.0,1172.0,,joseph's
yogirlerikaa,272.0,348.0,3364.0,,"Modesto, CA"
BoogieTeal,271.0,196.0,7262.0,,
josuemendoza_21,271.0,400.0,9055.0,,"Modesto, CA"
aubreyanthony84,271.0,291.0,957.0,,"Hughson, CA"
mariaahgl,271.0,266.0,2711.0,,somewhere eating chocolate
ChelseaHeras,271.0,102.0,8512.0,,"Modesto, CA"
StinkyAndrew,271.0,330.0,29409.0,,"Modesto, CA"
ZLICK33,271.0,369.0,8753.0,,Snapchat: rickayy408
Joehoe24,271.0,243.0,5480.0,,
sergiopadilla1_,271.0,291.0,14898.0,,"Modesto, CA"
xoJaySaldanaa,271.0,318.0,8476.0,,your boyfriends house 
fragilant,270.0,272.0,16111.0,,bone zone 
fuckkuslutss,270.0,207.0,2088.0,,"Inland Empire, CA"
U4iAGeorgia,270.0,393.0,2244.0,,
HaileyyFaith13,270.0,316.0,385.0,,
adrianaceja3,270.0,205.0,6811.0,,"Turlock, CA"
JCsFluffyTail,270.0,562.0,3258.0,"Modesto, CA",Modesto
Lulii5357,270.0,219.0,2838.0,,Hersilia
ohmotherhood1,270.0,1151.0,2435.0,,"Inland Empire, California"
EngageReggie,270.0,129.0,1842.0,,"Modesto, CA"
theAndyBarefoot,270.0,416.0,1317.0,"Turlock, CA","Los Angeles, CA"
DECprince55,270.0,265.0,2385.0,,
liillbitt,270.0,78.0,5473.0,,
nigel_triplett,270.0,327.0,12054.0,,"California, USA"
justabeangrl,270.0,278.0,9859.0,"Modesto, CA","Modesto, CA"
samsizzle209,270.0,868.0,721.0,,"modesto, ca"
